Sample,Callaway-Sant'Anna,TWFE
Full sample,-0.100 (0.167),-0.048 (0.211)
Men,-0.053 (0.207),-0.045 (0.252)
Women,-0.142 (0.202),-0.055 (0.202)
Women - Men,-0.089 (0.247),-0.016 (0.183)
